time,T_1b,T_2b
0.00,296.0190,296.0190
60.00,296.0200,294.8916
120.00,330.5403,296.0211
180.00,344.7500,295.9777
240.00,345.6818,294.8965
300.00,352.2460,298.8257
360.00,355.1951,302.9870
420.00,355.6266,303.0643
480.00,359.2872,307.0536
540.00,364.7658,312.3889
600.00,368.0609,315.6361
660.00,374.2431,319.0471
720.00,379.4077,322.8297
780.00,378.4071,326.2459
840.00,378.5720,329.6663
900.00,381.9561,329.9680
960.00,384.2496,333.3640
1020.00,387.6657,336.4564
1080.00,400.8455,336.6461
1140.00,420.6040,336.6470
1200.00,446.5556,336.6480
1260.00,477.2078,336.5591
1320.00,505.0133,335.4901
1380.00,527.7207,335.4910
1440.00,551.4163,337.9775
1500.00,570.9944,340.1340
1560.00,579.7486,340.1360
1620.00,597.0047,344.6463
1680.00,603.9803,343.6203
1740.00,613.7219,345.9012
1800.00,624.5109,347.1010
1860.00,628.3181,347.3206
1920.00,638.0597,349.3828
1980.00,641.6412,352.7727
2040.00,651.5187,353.3055
2100.00,661.7123,361.0626
2160.00,669.6971,362.1455
2220.00,680.4504,362.2455
2280.00,689.5125,363.3834
2340.00,696.3386,364.4673
2400.00,700.5632,366.9420
2460.00,708.8075,367.9700
2520.00,716.0508,366.8888
2580.00,727.0720,368.3076
2640.00,733.5712,371.4810
2700.00,740.8805,371.4820
2760.00,750.0807,371.6949
2820.00,761.9533,373.8851
2880.00,771.6859,374.9660
2940.00,778.1470,374.9673
3000.00,785.5447,374.8922
3060.00,794.3955,373.8111
3120.00,801.7148,373.8109
3180.00,816.2302,377.2921
3240.00,822.7256,377.2940
3300.00,831.8005,377.2950
3360.00,847.7499,377.2961
3420.00,858.0595,377.4497
3480.00,869.9653,380.6978
3540.00,888.9772,384.2601
3600.00,931.8750,384.2620
