"T, K","w"
361.38,0.997652582
366.03,0.997317237
370.68,0.996646546
375.31,0.995808182
379.89,0.994299128
384.41,0.991616365
388.83,0.987424547
393.12,0.981220657
397.24,0.971830986
401.19,0.958584842
404.89,0.94047619
408.57,0.917002012
413.06,0.892857143
418.55,0.873910127
424.72,0.86351442
430.42,0.855969148
435.42,0.846579477
440.19,0.835680751
445.14,0.82444668
451.04,0.818913481
456.9,0.817572099
462.3,0.816733736
467.48,0.816230718
472.58,0.815895372
477.62,0.8157277
482.63,0.815560027
487.64,0.815392354
492.63,0.815224681
497.64,0.815057009
